date,pol_rel,ori_rel,regime,vix
2026-06-23,-0.00019490680000000538,0.01760424749999999,LOW?,
2026-06-24,-0.019170955899999998,-0.0052608763999999995,LOW,19.1
2026-06-25,-0.009690323900000006,-0.004333706199999995,LOW,17.95
2026-06-26,-0.010522397299999993,0.0021133479000000066,ELEVATED,20.19
2026-06-29,-0.023103627800000005,-0.012123301699999998,LOW,18.4
2026-06-30,-0.0198393823,-0.0237209605,LOW,17.54
2026-07-01,0.0174547694,0.0264545391,LOW,16.74
2026-07-02,0.011642359299999995,0.017972254800000004,LOW,16.69
2026-07-06,0.006828105100000002,0.004585374199999999,LOW,16.36
2026-07-07,-0.00048653120000000105,0.024454285800000003,LOW,15.94
2026-07-08,-0.0006205220999999997,0.00018832370000000306,LOW,16.9
2026-07-09,-0.007457638400000001,-0.009664184299999996,LOW,16.03
2026-07-10,-0.000883661,0.0073142003,LOW,15.84
2026-07-13,0.003889223500000004,0.016679200399999997,LOW,16.31
