window,config,start,end,n_years,cagr,sharpe,max_dd,gross_cagr,annual_vol,sortino,turnover_annual,avg_holdings,value_data_coverage,n_days,net_cagr,max_dd_date,total_return,calmar,win_rate,spy_excess_cagr,sector_hhi,sleeve_correlation,allocator_defensive_frac
regime_recent,combined_static,2021-01-01,2026-03-07,5.15,28.09,1.256,-20.2,28.54,19.18,1.788,7.0,45.9,99.9,1299.0,28.09,2025-04-08,258.29,1.391,54.6,14.22,,,
regime_recent,combined_allocator,2021-01-01,2026-03-07,5.18,16.5,0.84,-18.2,,,,,,,,,,,,,,,,
regime_recent,spy_benchmark,2021-01-01,2026-03-07,5.15,13.87,0.582,-24.5,13.87,16.96,,0.0,1.0,,1299.0,13.87,,95.31,,,,,,
roll_3y_2008q1,value_only,2008-01-01,2010-12-31,3.0,12.16,0.69,-13.03,12.31,11.82,0.939,2.7,14.1,99.9,757.0,12.16,2010-07-02,41.16,0.933,27.1,14.65,,,
roll_3y_2008q1,combined_static,2008-01-01,2010-12-31,3.0,5.09,0.037,-45.64,5.53,29.35,0.05,8.5,29.7,99.9,757.0,5.09,2009-03-05,16.09,0.112,52.4,7.59,,,
roll_3y_2008q1,spy_benchmark,2008-01-01,2010-12-31,3.0,-2.49,-0.215,-51.85,-2.49,30.24,,0.0,1.0,,757.0,-2.49,,-7.3,,,,,,
roll_3y_2008q3,value_only,2008-07-01,2011-06-30,3.0,16.4,0.967,-13.03,16.59,12.82,1.278,3.3,19.1,99.9,757.0,16.4,2010-07-02,57.8,1.258,37.4,13.25,,,
roll_3y_2008q3,combined_static,2008-07-01,2011-06-30,3.0,7.94,0.138,-39.75,8.38,28.6,0.182,8.4,34.0,99.9,757.0,7.94,2009-03-05,25.81,0.2,52.9,4.8,,,
roll_3y_2008q3,spy_benchmark,2008-07-01,2011-06-30,3.0,3.15,-0.029,-47.17,3.15,29.56,,0.0,1.0,,757.0,3.15,,9.75,,,,,,
roll_3y_2009q1,value_only,2009-01-01,2011-12-31,3.0,15.52,0.654,-17.41,15.73,17.62,0.831,3.7,24.1,99.9,756.0,15.52,2011-10-03,54.18,0.892,46.9,2.65,,,
roll_3y_2009q1,combined_static,2009-01-01,2011-12-31,3.0,20.55,0.722,-22.05,21.0,22.93,1.002,7.5,39.2,99.9,756.0,20.55,2011-08-08,75.2,0.932,54.6,7.68,,,
roll_3y_2009q1,spy_benchmark,2009-01-01,2011-12-31,3.0,12.87,0.39,-27.13,12.87,22.74,,0.0,1.0,,756.0,12.87,,43.8,,,,,,
roll_3y_2009q3,value_only,2009-07-01,2012-06-30,3.0,20.52,0.896,-17.41,20.79,18.45,1.178,4.6,29.1,99.9,757.0,20.52,2011-10-03,75.19,1.179,56.5,4.44,,,
roll_3y_2009q3,combined_static,2009-07-01,2012-06-30,3.0,20.74,0.805,-22.05,21.11,20.8,1.061,6.3,44.3,99.9,757.0,20.74,2011-08-08,76.14,0.94,55.2,4.66,,,
roll_3y_2009q3,spy_benchmark,2009-07-01,2012-06-30,3.0,16.08,0.637,-18.61,16.08,18.97,,0.0,1.0,,757.0,16.08,,56.5,,,,,,
roll_3y_2010q1,value_only,2010-01-01,2012-12-31,2.99,18.05,0.784,-17.41,18.29,17.92,1.029,4.1,29.3,99.9,754.0,18.05,2011-10-03,64.3,1.037,55.6,7.85,,,
roll_3y_2010q1,combined_static,2010-01-01,2012-12-31,2.99,17.54,0.686,-22.05,17.9,19.74,0.903,6.2,44.2,99.9,754.0,17.54,2011-08-08,62.2,0.795,54.3,7.35,,,
roll_3y_2010q1,spy_benchmark,2010-01-01,2012-12-31,2.99,10.2,0.338,-18.61,10.2,18.36,,0.0,1.0,,754.0,10.2,,33.72,,,,,,
roll_3y_2010q3,value_only,2010-07-01,2013-06-30,2.99,19.69,0.934,-17.41,19.93,16.79,1.213,4.1,29.2,99.9,754.0,19.69,2011-10-03,71.23,1.131,56.3,1.17,,,
roll_3y_2010q3,combined_static,2010-07-01,2013-06-30,2.99,20.59,0.918,-22.05,20.96,18.07,1.202,6.3,44.2,99.9,754.0,20.59,2011-08-08,75.1,0.934,55.0,2.07,,,
roll_3y_2010q3,spy_benchmark,2010-07-01,2013-06-30,2.99,18.52,0.846,-18.61,18.52,17.16,,0.0,1.0,,754.0,18.52,,66.26,,,,,,
roll_3y_2011q1,value_only,2011-01-01,2013-12-31,2.99,17.04,0.798,-17.41,17.27,16.34,1.023,3.9,29.2,99.9,754.0,17.04,2011-10-03,60.13,0.979,55.8,1.32,,,
roll_3y_2011q1,combined_static,2011-01-01,2013-12-31,2.99,18.82,0.832,-22.05,19.18,17.8,1.076,6.1,44.9,99.9,754.0,18.82,2011-08-08,67.53,0.853,54.6,3.1,,,
roll_3y_2011q1,spy_benchmark,2011-01-01,2013-12-31,2.99,15.72,0.711,-18.61,15.72,16.48,,0.0,1.0,,754.0,15.72,,54.77,,,,,,
roll_3y_2011q3,value_only,2011-07-01,2014-06-30,2.99,19.98,0.993,-13.37,20.22,16.1,1.244,4.1,29.2,99.9,753.0,19.98,2011-10-03,72.35,1.494,56.0,4.04,,,
roll_3y_2011q3,combined_static,2011-07-01,2014-06-30,2.99,22.43,1.047,-14.89,22.79,17.6,1.322,6.1,45.5,99.9,753.0,22.43,2011-08-08,83.06,1.506,55.6,6.49,,,
roll_3y_2011q3,spy_benchmark,2011-07-01,2014-06-30,2.99,15.94,0.736,-18.37,15.94,16.22,,0.0,1.0,,753.0,15.94,,55.59,,,,,,
roll_3y_2012q1,value_only,2012-01-01,2014-12-31,2.99,23.41,1.626,-7.68,23.66,11.93,2.295,4.2,29.2,99.9,754.0,23.41,2012-05-18,87.64,3.049,56.2,3.68,,,
roll_3y_2012q1,combined_static,2012-01-01,2014-12-31,2.99,26.89,1.627,-9.59,27.27,14.07,2.223,6.2,45.7,99.9,754.0,26.89,2012-06-01,103.9,2.802,56.2,7.15,,,
roll_3y_2012q1,spy_benchmark,2012-01-01,2014-12-31,2.99,19.73,1.348,-9.69,19.73,11.67,,0.0,1.0,,754.0,19.73,,71.39,,,,,,
roll_3y_2012q3,value_only,2012-07-01,2015-06-30,2.99,22.18,1.577,-6.63,22.42,11.53,2.211,4.0,29.2,99.9,753.0,22.18,2013-06-24,81.96,3.345,55.5,5.08,,,
roll_3y_2012q3,combined_static,2012-07-01,2015-06-30,2.99,26.33,1.648,-8.59,26.71,13.55,2.256,6.0,45.9,99.9,753.0,26.33,2014-10-13,101.07,3.066,56.2,9.23,,,
