window,config,start,end,n_years,cagr,sharpe,max_dd,gross_cagr,annual_vol,sortino,turnover_annual,avg_holdings,value_data_coverage,n_days,net_cagr,max_dd_date,total_return,calmar,win_rate,spy_excess_cagr,sector_hhi,sleeve_correlation,allocator_defensive_frac
roll_5y_2011q1,value_only,2011-01-01,2015-12-31,4.99,16.32,0.801,-17.41,16.55,15.39,1.052,3.9,29.5,99.9,1258.0,16.32,2011-10-03,112.73,0.938,55.5,4.11,,,
roll_5y_2011q1,combined_static,2011-01-01,2015-12-31,4.99,17.42,0.794,-22.05,17.77,16.91,1.039,5.9,45.9,99.9,1258.0,17.42,2011-08-08,122.95,0.79,55.5,5.21,,,
roll_5y_2011q1,spy_benchmark,2011-01-01,2015-12-31,4.99,12.22,0.535,-18.61,12.22,15.35,,0.0,1.0,,1258.0,12.22,,77.78,,,,,,
roll_5y_2012q1,value_only,2012-01-01,2016-12-31,4.99,18.26,1.098,-13.89,18.51,12.99,1.518,4.2,29.5,99.9,1258.0,18.26,2015-09-28,131.01,1.315,55.2,4.03,,,
roll_5y_2012q1,combined_static,2012-01-01,2016-12-31,4.99,22.09,1.247,-13.65,22.46,14.5,1.675,6.2,45.9,99.9,1258.0,22.09,2016-02-08,170.8,1.619,56.4,7.85,,,
roll_5y_2012q1,spy_benchmark,2012-01-01,2016-12-31,4.99,14.23,0.801,-13.02,14.23,12.78,,0.0,1.0,,1258.0,14.23,,94.33,,,,,,
roll_5y_2013q1,value_only,2013-01-01,2017-12-31,5.0,21.02,1.401,-13.89,21.26,12.15,1.846,4.0,29.5,99.9,1259.0,21.02,2015-09-28,159.37,1.513,56.5,5.91,,,
roll_5y_2013q1,combined_static,2013-01-01,2017-12-31,5.0,23.95,1.425,-13.65,24.3,14.0,1.836,5.8,46.2,99.9,1259.0,23.95,2016-02-08,192.28,1.755,57.8,8.84,,,
roll_5y_2013q1,spy_benchmark,2013-01-01,2017-12-31,5.0,15.11,0.941,-13.02,15.11,11.81,,0.0,1.0,,1259.0,15.11,,101.98,,,,,,
roll_5y_2014q1,value_only,2014-01-01,2018-12-31,4.99,16.97,0.964,-17.84,17.22,13.46,1.249,4.2,29.5,99.9,1258.0,16.97,2018-12-24,118.73,0.952,55.6,8.39,,,
roll_5y_2014q1,combined_static,2014-01-01,2018-12-31,4.99,17.55,0.885,-21.13,17.9,15.31,1.114,6.1,45.7,99.9,1258.0,17.55,2018-12-24,124.15,0.831,57.1,8.96,,,
roll_5y_2014q1,spy_benchmark,2014-01-01,2018-12-31,4.99,8.59,0.348,-19.35,8.59,13.19,,0.0,1.0,,1258.0,8.59,,50.86,,,,,,
roll_5y_2015q1,value_only,2015-01-01,2019-12-31,4.99,17.72,0.997,-17.84,17.97,13.76,1.27,4.4,29.5,99.9,1258.0,17.72,2018-12-24,125.77,0.993,55.5,6.13,,,
roll_5y_2015q1,combined_static,2015-01-01,2019-12-31,4.99,19.57,1.025,-21.13,19.93,15.18,1.283,6.2,45.7,99.9,1258.0,19.57,2018-12-24,144.01,0.926,57.0,7.97,,,
roll_5y_2015q1,spy_benchmark,2015-01-01,2019-12-31,4.99,11.59,0.565,-19.35,11.59,13.43,,0.0,1.0,,1258.0,11.59,,72.89,,,,,,
roll_5y_2016q1,value_only,2016-01-01,2020-12-31,5.0,22.54,0.946,-31.43,22.81,19.59,1.086,4.4,29.6,99.9,1259.0,22.54,2020-03-23,176.12,0.717,56.5,7.11,,,
roll_5y_2016q1,combined_static,2016-01-01,2020-12-31,5.0,25.8,1.027,-34.33,26.19,21.22,1.138,6.2,45.8,99.9,1259.0,25.8,2020-03-23,214.81,0.752,57.9,10.37,,,
roll_5y_2016q1,spy_benchmark,2016-01-01,2020-12-31,5.0,15.43,0.606,-33.72,15.43,18.86,,0.0,1.0,,1259.0,15.43,,104.85,,,,,,
roll_5y_2017q1,value_only,2017-01-01,2021-12-31,5.0,25.23,1.069,-31.43,25.51,19.87,1.24,4.5,29.5,99.9,1259.0,25.23,2020-03-23,207.71,0.803,56.6,7.05,,,
roll_5y_2017q1,combined_static,2017-01-01,2021-12-31,5.0,26.29,1.015,-34.33,26.68,21.97,1.163,6.2,45.9,99.9,1259.0,26.29,2020-03-23,221.0,0.766,57.1,8.11,,,
roll_5y_2017q1,spy_benchmark,2017-01-01,2021-12-31,5.0,18.18,0.752,-33.72,18.18,18.86,,0.0,1.0,,1259.0,18.18,,130.4,,,,,,
roll_5y_2018q1,value_only,2018-01-01,2022-12-31,5.0,16.47,0.567,-31.43,16.75,21.98,0.71,4.8,29.5,99.9,1259.0,16.47,2020-03-23,114.22,0.524,54.0,7.31,,,
roll_5y_2018q1,combined_static,2018-01-01,2022-12-31,5.0,17.03,0.551,-34.33,17.4,23.65,0.67,6.4,45.8,99.9,1259.0,17.03,2020-03-23,119.41,0.496,55.0,7.87,,,
roll_5y_2018q1,spy_benchmark,2018-01-01,2022-12-31,5.0,9.16,0.24,-33.72,9.16,21.55,,0.0,1.0,,1259.0,9.16,,54.98,,,,,,
roll_5y_2019q1,value_only,2019-01-01,2023-12-31,4.99,21.67,0.83,-31.43,21.97,21.28,1.04,4.9,29.5,99.9,1258.0,21.67,2020-03-23,166.22,0.689,53.9,6.08,,,
roll_5y_2019q1,combined_static,2019-01-01,2023-12-31,4.99,22.81,0.821,-34.33,23.21,22.91,1.001,6.7,45.8,99.9,1258.0,22.81,2020-03-23,178.9,0.664,54.6,7.21,,,
roll_5y_2019q1,spy_benchmark,2019-01-01,2023-12-31,4.99,15.6,0.552,-33.72,15.6,21.0,,0.0,1.0,,1258.0,15.6,,106.16,,,,,,
roll_5y_2020q1,value_only,2020-01-01,2024-12-31,4.99,22.76,0.886,-31.43,23.08,21.17,1.117,5.3,29.5,99.9,1258.0,22.76,2020-03-23,178.38,0.724,53.9,8.5,,,
roll_5y_2020q1,combined_static,2020-01-01,2024-12-31,4.99,26.92,0.973,-34.33,27.34,23.56,1.218,6.7,45.7,99.9,1258.0,26.92,2020-03-23,228.72,0.784,54.2,12.65,,,
roll_5y_2020q1,spy_benchmark,2020-01-01,2024-12-31,4.99,14.27,0.489,-33.72,14.27,21.0,,0.0,1.0,,1258.0,14.27,,94.58,,,,,,
roll_5y_2021q1,value_only,2021-01-01,2025-12-31,4.98,23.32,1.224,-17.79,23.67,15.79,1.724,5.8,29.6,99.9,1255.0,23.32,2022-10-12,184.05,1.311,54.1,8.61,,,
roll_5y_2021q1,combined_static,2021-01-01,2025-12-31,4.98,27.56,1.235,-20.2,28.01,19.07,1.747,7.1,45.9,99.9,1255.0,27.56,2025-04-08,236.1,1.364,54.6,12.85,,,
roll_5y_2021q1,spy_benchmark,2021-01-01,2025-12-31,4.98,14.71,0.626,-24.5,14.71,17.11,,0.0,1.0,,1255.0,14.71,,98.08,,,,,,
