date,value_only,combined_static
2022-01-03,1.0,1.0
2022-01-04,1.0,1.0
2022-01-05,1.0,1.0
2022-01-06,1.0,1.0
2022-01-07,1.0,1.0
2022-01-10,1.0,1.0
2022-01-11,1.0,1.0
2022-01-12,1.0,1.0
2022-01-13,1.0,1.0
2022-01-14,1.0,1.0
2022-01-18,1.0,1.0
2022-01-19,1.0,1.0
2022-01-20,1.0,1.0
2022-01-21,1.0,1.0
2022-01-24,1.0,1.0
2022-01-25,1.0,1.0
2022-01-26,1.0,1.0
2022-01-27,1.0,1.0
2022-01-28,1.0,1.0
2022-01-31,0.9995,0.9995
2022-02-01,1.0050670207796042,1.005846855494138
2022-02-02,1.013463070622472,1.0187468255157999
2022-02-03,0.9961293292634957,0.9957743213497418
2022-02-04,0.993901257734304,0.9978881751280768
2022-02-07,0.9916717326532777,0.9947974957869213
2022-02-08,0.9949538259026579,0.9999816431067036
2022-02-09,1.0094268160479805,1.0198126787587305
2022-02-10,0.9938610121148356,0.9992827895959643
2022-02-11,0.9839520966840279,0.9777928098877223
2022-02-14,0.9767754063881847,0.9735936536000332
2022-02-15,0.9886234652640967,0.9936698108019202
2022-02-16,0.992871603617875,0.9952538298318876
2022-02-17,0.9818273952285304,0.975668350888827
2022-02-18,0.9758628233227308,0.9682140894001041
2022-02-22,0.9659274356134572,0.9554348825384856
2022-02-23,0.9544760486087629,0.9378015111352204
2022-02-24,0.9644922811793404,0.9602408568354538
2022-02-25,0.9896496497630326,0.9839935535185049
2022-02-28,0.9929713910591069,0.9901743787381364
2022-03-01,0.9839828864485439,0.9761829481260536
2022-03-02,1.003342563768265,0.9991108738505465
2022-03-03,1.003477431934332,0.9944388939336503
2022-03-04,1.0014865260688224,0.9905155150124687
2022-03-07,0.9771085572261259,0.965301875091622
2022-03-08,0.9716532201565147,0.9607025464452743
2022-03-09,0.9906909365104002,0.9798124606577852
2022-03-10,0.9896196817952916,0.9809403422518141
2022-03-11,0.9821103252763017,0.9719006347467922
2022-03-14,0.9764593462805009,0.9605669194518935
2022-03-15,0.9922507433277293,0.9754379629169311
2022-03-16,1.0071021197564216,0.9933021941803746
2022-03-17,1.020829342969214,1.0084225330233163
2022-03-18,1.024816640545013,1.0179346824737752
2022-03-21,1.0308471569747015,1.026177996039243
2022-03-22,1.0361548470937725,1.0338850853834107
2022-03-23,1.0275590833938,1.027399147425036
2022-03-24,1.0415151871963253,1.045191956155332
2022-03-25,1.0483376600727474,1.0507577802546073
2022-03-28,1.0488892735868962,1.0517715243762902
2022-03-29,1.058348685904506,1.0592997362048766
2022-03-30,1.0542631853682738,1.0522968191603068
2022-03-31,1.0423282779549652,1.0390955929996737
2022-04-01,1.0433313414265477,1.0433650525814098
2022-04-04,1.0466999644600217,1.0462154225459257
2022-04-05,1.03262886117059,1.0331614326937104
2022-04-06,1.0291521130911618,1.0321463785112195
2022-04-07,1.0377899760243672,1.045262084392651
2022-04-08,1.0386758133477993,1.0513968583759725
2022-04-11,1.0225616263925128,1.0318839844659429
2022-04-12,1.0192509166965158,1.0336792381297653
2022-04-13,1.0305541498292883,1.0454585195011565
2022-04-14,1.023960353870941,1.0410541022251767
2022-04-18,1.028624303089825,1.0463655876091194
2022-04-19,1.0417004837241686,1.053175078670383
2022-04-20,1.0527037594903834,1.0593826567282174
2022-04-21,1.035402884956342,1.0348300609870429
2022-04-22,0.9996645344589888,1.0040577317177415
2022-04-25,1.0015837602168802,0.9983797918503385
2022-04-26,0.9787883614287856,0.9795907887312171
2022-04-27,0.9807691890138628,0.9840400491838551
2022-04-28,0.9993484613127323,1.0019150396599756
2022-04-29,0.9663933307578201,0.9688972102471972
