date,value_only,combined_static
2020-07-01,1.0,1.0
2020-07-02,1.0,1.0
2020-07-06,1.0,1.0
2020-07-07,1.0,1.0
2020-07-08,1.0,1.0
2020-07-09,1.0,1.0
2020-07-10,1.0,1.0
2020-07-13,1.0,1.0
2020-07-14,1.0,1.0
2020-07-15,1.0,1.0
2020-07-16,1.0,1.0
2020-07-17,1.0,1.0
2020-07-20,1.0,1.0
2020-07-21,1.0,1.0
2020-07-22,1.0,1.0
2020-07-23,1.0,1.0
2020-07-24,1.0,1.0
2020-07-27,1.0,1.0
2020-07-28,1.0,1.0
2020-07-29,1.0,1.0
2020-07-30,1.0,1.0
2020-07-31,0.9995,0.9995
2020-08-03,1.0036916974158525,1.0090176606294845
2020-08-04,1.0131319854757315,1.0177037716721682
2020-08-05,1.013807018928698,1.0184614165788817
2020-08-06,1.0146541713566914,1.0207785406921668
2020-08-07,1.016359876470605,1.0124577180853855
2020-08-10,1.0261066225202755,1.0102088911954228
2020-08-11,1.0200781035318551,0.9943438548427759
2020-08-12,1.034332348642974,1.0150917298268574
2020-08-13,1.0268730565447393,1.0160796535012706
2020-08-14,1.0298027492204478,1.0170381278815093
2020-08-17,1.034774228811668,1.0320350598730927
2020-08-18,1.0332384825241971,1.0340857448544913
2020-08-19,1.0251634239899374,1.0271800844303591
2020-08-20,1.0195675868700165,1.036895961615037
2020-08-21,1.0216009190797262,1.037552468015364
2020-08-24,1.031382950265455,1.042502642519792
2020-08-25,1.0307020947146461,1.047288891816701
2020-08-26,1.0287026367296344,1.0592587856407303
2020-08-27,1.0321188981605607,1.0560498648902295
2020-08-28,1.0440233853670375,1.065309849420697
2020-08-31,1.03715886000048,1.0718666582323213
2020-09-01,1.0444387248219507,1.085224346712526
2020-09-02,1.0637344705942051,1.0986378209124303
2020-09-03,1.0334565908240314,1.0514836208284257
2020-09-04,1.02699579978498,1.0404696388121693
2020-09-08,1.000332774335768,1.00678252736157
2020-09-09,1.0152203062352068,1.0311762847795676
2020-09-10,0.9932933683497984,1.0109400320167445
2020-09-11,0.9966145842022044,1.0089064681035003
2020-09-14,1.0145127410625443,1.0292604414344184
2020-09-15,1.0158515472797502,1.0401609723286278
2020-09-16,1.0227667815291972,1.0356290493978413
2020-09-17,1.0174437614764127,1.0242919526413292
2020-09-18,1.0062052909036954,1.0148408421253725
2020-09-21,0.9866035451100297,1.012538010078554
2020-09-22,0.9931348650613856,1.0220989469125592
2020-09-23,0.9651531065485571,0.99089100376548
