date,value_only,combined_static
2019-01-02,1.0,1.0
2019-01-03,1.0,1.0
2019-01-04,1.0,1.0
2019-01-07,1.0,1.0
2019-01-08,1.0,1.0
2019-01-09,1.0,1.0
2019-01-10,1.0,1.0
2019-01-11,1.0,1.0
2019-01-14,1.0,1.0
2019-01-15,1.0,1.0
2019-01-16,1.0,1.0
2019-01-17,1.0,1.0
2019-01-18,1.0,1.0
2019-01-22,1.0,1.0
2019-01-23,1.0,1.0
2019-01-24,1.0,1.0
2019-01-25,1.0,1.0
2019-01-28,1.0,1.0
2019-01-29,1.0,1.0
2019-01-30,1.0,1.0
2019-01-31,0.9995,0.9995
2019-02-01,0.9992112377846297,1.0016218024705448
2019-02-04,1.0070364184904443,1.0059653568261355
2019-02-05,1.0104549085736148,1.008347639904784
2019-02-06,1.0101478060369955,1.0058575958200184
2019-02-07,1.0013965363324855,0.9997611277562647
2019-02-08,1.002131911645882,1.0026739084023226
2019-02-11,1.007049091063536,1.0059655279824873
2019-02-12,1.0201218543675166,1.0163864126435784
2019-02-13,1.0259754468084719,1.0190932342422856
2019-02-14,1.0267852567753546,1.0227091388147187
2019-02-15,1.0410189338480953,1.036288908834932
2019-02-19,1.0469244342715744,1.0395534916028577
2019-02-20,1.046753509457004,1.0378282327034845
2019-02-21,1.0367888281030961,1.0308798979654805
2019-02-22,1.0432715569290576,1.0399979972047546
2019-02-25,1.0426413521067757,1.0377474220064962
2019-02-26,1.0383569114004496,1.0361048939525406
2019-02-27,1.0364103716663275,1.0347227532605723
2019-02-28,1.0379144163121523,1.0379640697356562
2019-03-01,1.04353977972673,1.0426925920959627
2019-03-04,1.0410467312696645,1.0352895990717133
2019-03-05,1.0412184887131137,1.035009780990217
2019-03-06,1.0315877471796049,1.0253641879385313
2019-03-07,1.0242077984835392,1.0189986875665193
2019-03-08,1.021868474267086,1.015503093571422
2019-03-11,1.038663748346631,1.0288787691092118
2019-03-12,1.0447294836837309,1.0333037868476178
2019-03-13,1.053209525407222,1.0398969794148551
2019-03-14,1.050282612384209,1.0392535691579339
2019-03-15,1.0566905922628722,1.044704868506436
2019-03-18,1.0609543557902508,1.046346083752748
2019-03-19,1.0625693696072154,1.0518918765424812
2019-03-20,1.0601996488724312,1.0505456666661275
2019-03-21,1.0767078324432084,1.067789724480367
2019-03-22,1.0566711917698388,1.0484677375185174
2019-03-25,1.0586429113338651,1.0516895292121842
2019-03-26,1.0675501672437833,1.0570322144941797
2019-03-27,1.0619296033484593,1.0498362378907093
2019-03-28,1.064551576337139,1.0532915667635527
2019-03-29,1.0714920244585555,1.061784006784142
2019-04-01,1.0832561392278766,1.070256142598159
2019-04-02,1.084051634759239,1.0721622835314548
2019-04-03,1.0881554026788696,1.0765174513464297
2019-04-04,1.0876179421516579,1.0718663483536541
2019-04-05,1.0933166824308291,1.0764428256216128
2019-04-08,1.0971822872642185,1.0767454857295482
2019-04-09,1.0914194104865422,1.072170319577812
2019-04-10,1.09535563786137,1.0783548539497299
2019-04-11,1.0940115293545374,1.077451940889842
2019-04-12,1.0966053156229234,1.0810207435493828
2019-04-15,1.097682387909236,1.08025485454903
2019-04-16,1.0954946596866002,1.0788766487615071
2019-04-17,1.0892144576330138,1.0676609149416103
2019-04-18,1.0872498638408012,1.0669056674092052
2019-04-22,1.0873433937100723,1.0665776857525757
2019-04-23,1.0961603606593813,1.0756547018835283
2019-04-24,1.0932182567913453,1.076032568368446
2019-04-25,1.0915398454924004,1.0771052253207234
2019-04-26,1.094081714868557,1.0820315823555406
2019-04-29,1.0946620675751884,1.0814101979533186
2019-04-30,1.0959035841401543,1.0861548808258479
2019-05-01,1.0878176831550255,1.0761051416800704
2019-05-02,1.0862030861123197,1.0773099278857552
2019-05-03,1.0932873247839,1.0836508319190796
2019-05-06,1.0866798058811094,1.077785568305538
2019-05-07,1.0685423913893606,1.0592540295804924
2019-05-08,1.0694412424890314,1.0612903429753702
2019-05-09,1.0675360630398933,1.0599506685349873
2019-05-10,1.0735844366786582,1.0671370467812404
2019-05-13,1.0452938188585512,1.0381454879264378
2019-05-14,1.0538800983319445,1.0505958992061497
2019-05-15,1.0584946869991465,1.0565052805013124
2019-05-16,1.0707528247435316,1.0708015491504963
2019-05-17,1.0642557554135503,1.0630998117173773
2019-05-20,1.0576310103670186,1.0494349261682414
2019-05-21,1.0702900198323404,1.0625465310698292
2019-05-22,1.066575595946044,1.0621012598938908
2019-05-23,1.0521171001734302,1.047096269273832
2019-05-24,1.0516040448526354,1.049007676050468
2019-05-28,1.0428975292718554,1.045879771587987
2019-05-29,1.0340319251510526,1.0361386302447848
2019-05-30,1.0374985805670425,1.0424776072808424
2019-05-31,1.0204164468927963,1.0285882574121101
2019-06-03,1.0263137396436803,1.0268841600621146
2019-06-04,1.049592136783872,1.047913343077018
2019-06-05,1.0550136211970649,1.0580658364242788
2019-06-06,1.062520139325462,1.0671051466896082
2019-06-07,1.0714168675488567,1.077291790076032
2019-06-10,1.0780659357195916,1.0824110336645687
2019-06-11,1.0752019965575865,1.0782491185108745
2019-06-12,1.072820236445202,1.0781060329644516
2019-06-13,1.077418506223458,1.0830529394539796
2019-06-14,1.0704564473032854,1.0770860737349832
2019-06-17,1.069190601870978,1.075402051240708
2019-06-18,1.086400050632085,1.0892959947044831
2019-06-19,1.0880411025068903,1.0959901792444044
2019-06-20,1.0996652084262173,1.1076937252846508
2019-06-21,1.0984803358128001,1.1030451383965496
2019-06-24,1.097432570017254,1.1002516871307473
2019-06-25,1.0903136250199539,1.0906797237836905
2019-06-26,1.0938748583167759,1.0900144521303314
2019-06-27,1.0983498506935943,1.0939098356431871
2019-06-28,1.104909799551803,1.0990365448967523
2019-07-01,1.115453166187736,1.1105129560118554
2019-07-02,1.1127877942244537,1.1140176787153038
2019-07-03,1.1160592200216695,1.1218253584437268
2019-07-05,1.1138842546684127,1.119362441422662
2019-07-08,1.1080970550642402,1.1160511275691798
2019-07-09,1.1059140681524873,1.1163718780061982
2019-07-10,1.1105088763880717,1.122195230047857
2019-07-11,1.1176393529052473,1.126755024047831
2019-07-12,1.1279582902531988,1.1326200402200812
2019-07-15,1.1292783459619988,1.135039892007712
2019-07-16,1.1281937009268428,1.1310623400300612
2019-07-17,1.1181487696103485,1.1255940815745087
2019-07-18,1.1211032502614118,1.1285819136334514
2019-07-19,1.118636680072405,1.1210106341871267
2019-07-22,1.1221276269862477,1.12416286148993
2019-07-23,1.131008606201021,1.1320591040774304
2019-07-24,1.1360430293235813,1.1357417405374621
2019-07-25,1.123332044416393,1.126666243728796
2019-07-26,1.1296384441920053,1.1343934600034615
2019-07-29,1.1306605234733869,1.1323857111927684
2019-07-30,1.1275875705545317,1.1304162810983873
2019-07-31,1.1150159341911392,1.1134425096416345
2019-08-01,1.1005495801244034,1.1019999753256229
2019-08-02,1.0876724476594906,1.0888188463032697
2019-08-05,1.0535905499219849,1.053762228226437
2019-08-06,1.0657483172631002,1.0719399392096174
2019-08-07,1.0703106976436378,1.07747408160901
2019-08-08,1.088592230098545,1.104914693072915
2019-08-09,1.0779012346161603,1.0963044208374282
2019-08-12,1.0630452964306631,1.080331845956576
2019-08-13,1.081452220897289,1.0980047717208852
2019-08-14,1.047118773487076,1.0622302664442829
2019-08-15,1.050204191566559,1.066985899252845
2019-08-16,1.0662279971123947,1.0848962425771893
2019-08-19,1.0806066749257213,1.0969407102353006
2019-08-20,1.0719337337388655,1.089256364489554
2019-08-21,1.0807715284385184,1.09976954286118
2019-08-22,1.077828247580251,1.0991496527366893
2019-08-23,1.048006547005685,1.0710054775219575
2019-08-26,1.0573828963069491,1.0820078569524574
2019-08-27,1.050146823431022,1.078327405262719
2019-08-28,1.059224997617208,1.08430801239579
2019-08-29,1.0752769787863325,1.1009207643782128
2019-08-30,1.077943087171564,1.100828732423737
2019-09-03,1.0728782469218638,1.0960904971770644
2019-09-04,1.0868494813592786,1.1096417696165384
2019-09-05,1.1027528979149563,1.12297523826875
2019-09-06,1.1031138415330612,1.122885410087478
2019-09-09,1.1125708099809615,1.1176530736095716
2019-09-10,1.1197806755771949,1.1102261741900774
2019-09-11,1.1264091373972358,1.1156826287634438
2019-09-12,1.1260657983265416,1.1219048045020397
2019-09-13,1.1260349023967642,1.1212872114243762
2019-09-16,1.1213253752194237,1.1199458612653788
2019-09-17,1.123355969529092,1.1283005175337528
2019-09-18,1.1242538332381005,1.1298125186325754
2019-09-19,1.1261869069149426,1.1307168332412407
