date,ticker,target_weight,raw_score,sleeve,n_names_day,n_sleeves_day,cash_target_weight,concentration_status,source,asof_date,generated_at,breaker_mode,exposure_multiplier,vix,regime
2026-02-03,ADBE,0.14285714285714288,,core,7,1,,pre_concentration_broad,signals_vm,,,,,,
2026-02-03,C,0.14285714285714288,,core,7,1,,pre_concentration_broad,signals_vm,,,,,,
2026-02-03,COIN,0.14285714285714288,,core,7,1,,pre_concentration_broad,signals_vm,,,,,,
2026-02-03,CRWD,0.14285714285714288,,core,7,1,,pre_concentration_broad,signals_vm,,,,,,
2026-02-03,INTC,0.14285714285714288,,core,7,1,,pre_concentration_broad,signals_vm,,,,,,
2026-02-03,MU,0.14285714285714288,,core,7,1,,pre_concentration_broad,signals_vm,,,,,,
2026-02-03,SNPS,0.14285714285714288,,core,7,1,,pre_concentration_broad,signals_vm,,,,,,
2026-02-04,ADBE,0.14285714285714288,,core,7,1,,pre_concentration_broad,signals_vm,,,,,,
2026-02-04,C,0.14285714285714288,,core,7,1,,pre_concentration_broad,signals_vm,,,,,,
2026-02-04,COIN,0.14285714285714288,,core,7,1,,pre_concentration_broad,signals_vm,,,,,,
2026-02-04,CRWD,0.14285714285714288,,core,7,1,,pre_concentration_broad,signals_vm,,,,,,
2026-02-04,INTC,0.14285714285714288,,core,7,1,,pre_concentration_broad,signals_vm,,,,,,
2026-02-04,MU,0.14285714285714288,,core,7,1,,pre_concentration_broad,signals_vm,,,,,,
2026-02-04,SNPS,0.14285714285714288,,core,7,1,,pre_concentration_broad,signals_vm,,,,,,
2026-02-05,ADBE,0.14285714285714288,,core,7,1,0.30000000000000004,pre_concentration_broad,signals_vm,,,,,,
2026-02-05,C,0.14285714285714288,,core,7,1,0.30000000000000004,pre_concentration_broad,signals_vm,,,,,,
2026-02-05,COIN,0.14285714285714288,,core,7,1,0.30000000000000004,pre_concentration_broad,signals_vm,,,,,,
2026-02-05,CRWD,0.14285714285714288,,core,7,1,0.30000000000000004,pre_concentration_broad,signals_vm,,,,,,
2026-02-05,INTC,0.14285714285714288,,core,7,1,0.30000000000000004,pre_concentration_broad,signals_vm,,,,,,
2026-02-05,MU,0.14285714285714288,,core,7,1,0.30000000000000004,pre_concentration_broad,signals_vm,,,,,,
2026-02-05,SNPS,0.14285714285714288,,core,7,1,0.30000000000000004,pre_concentration_broad,signals_vm,,,,,,
2026-02-09,ADBE,0.10885331402304406,,sleeve_2,13,3,0.03302323163110443,pre_concentration_broad,signals_vm,2026-02-06,2026-02-09T17:00:49.343777+00:00,,,,
2026-02-09,C,0.10885331402304406,,sleeve_2,13,3,0.03302323163110443,pre_concentration_broad,signals_vm,2026-02-06,2026-02-09T17:00:49.343777+00:00,,,,
2026-02-09,MU,0.10885331402304406,,sleeve_2,13,3,0.03302323163110443,pre_concentration_broad,signals_vm,2026-02-06,2026-02-09T17:00:49.343777+00:00,,,,
2026-02-09,INTC,0.08773025570467984,,sleeve_trend,13,3,0.03302323163110443,pre_concentration_broad,signals_vm,2026-02-06,2026-02-09T17:00:49.343777+00:00,,,,
2026-02-09,COIN,0.08503714150102801,,sleeve_trend,13,3,0.03302323163110443,pre_concentration_broad,signals_vm,2026-02-06,2026-02-09T17:00:49.343777+00:00,,,,
2026-02-09,CRWD,0.08432985819674652,,sleeve_trend,13,3,0.03302323163110443,pre_concentration_broad,signals_vm,2026-02-06,2026-02-09T17:00:49.343777+00:00,,,,
2026-02-09,CRM,0.06836838887003488,,sleeve_trend,13,3,0.03302323163110443,pre_concentration_broad,signals_vm,2026-02-06,2026-02-09T17:00:49.343777+00:00,,,,
2026-02-09,ADSK,0.06204906049729455,,charlie_munger,13,3,0.03302323163110443,pre_concentration_broad,signals_vm,2026-02-06,2026-02-09T17:00:49.343777+00:00,,,,
2026-02-09,AON,0.06204906049729455,,charlie_munger,13,3,0.03302323163110443,pre_concentration_broad,signals_vm,2026-02-06,2026-02-09T17:00:49.343777+00:00,,,,
2026-02-09,CI,0.06204906049729455,,charlie_munger,13,3,0.03302323163110443,pre_concentration_broad,signals_vm,2026-02-06,2026-02-09T17:00:49.343777+00:00,,,,
