date,ticker,w_bod,r,contrib,sleeve
2026-06-26,C,0.0610889627637646,-0.02220996906879813,-0.0013567839734281723,sleeve_trend
2026-06-26,CAT,0.0331218255362692,-0.05632873720439224,-0.001865710606362236,sleeve_trend
2026-06-26,CVS,0.0622263184481989,-0.0030575894613178445,-0.00019026253550382113,sleeve_trend
2026-06-26,FTNT,0.0771346723619934,0.00947117652973617,0.000730556098503801,sleeve_quality
2026-06-26,GE,0.0484714231395707,-0.00635492078297295,-0.00030803205428993384,sleeve_trend
2026-06-26,GM,0.0789078585705041,-0.005475618386093006,-0.00043206932119587885,sleeve_2
2026-06-26,KLAC,0.0680103943737874,-0.03925807141632465,-0.00266995691937855,sleeve_2
2026-06-26,MNST,0.0890263071263644,0.005739282185686534,0.0005109470985478013,sleeve_trend
2026-06-26,MS,0.0518228590994022,-0.04076182944492146,-0.0021123945439580284,sleeve_trend
2026-06-26,NSC,0.055357260291084,0.0024033839834249893,0.00013304475274987946,sleeve_mean_reversion
2026-06-26,QCOM,0.0423500771312282,-0.07569543664638467,-0.0032057075804563886,sleeve_quality
2026-06-26,SPG,0.0717291969862051,0.006208673832006406,0.00044534318831908435,sleeve_trend
2026-06-26,STX,0.0745991479672292,-0.12235698947670937,-0.009127727162797748,"sleeve_quality, sleeve_trend"
2026-06-26,UNH,0.0636077665520409,0.02974518303239404,0.001892024658372248,sleeve_trend
2026-06-26,UNP,0.050232029278097,0.0023157475506889735,0.00011632469876688994,sleeve_mean_reversion
2026-06-26,VZ,0.0528319801417589,0.010201904965301045,0.0005389868405348963,sleeve_2
2026-06-26,WDC,0.0194819202325011,-0.13168687797035672,-0.0025655132522855962,sleeve_trend
2026-06-29,AMAT,0.0302099736359593,0.10816154822321433,0.0032675575202478456,sleeve_trend
2026-06-29,C,0.0981115909072747,0.005149626231771176,0.0005052380221769042,sleeve_trend
2026-06-29,CAT,0.0470973060385375,0.03581057250068964,0.0016865814924802152,sleeve_trend
2026-06-29,CVS,0.0928852936930812,-0.007283827233180995,-0.0006765604317636797,sleeve_trend
2026-06-29,FCX,0.0332031653963364,-0.01329066166396664,-0.00044129203745543196,sleeve_mean_reversion
2026-06-29,FTNT,0.0796224569194916,0.026891258019811515,0.0021411480331933754,sleeve_quality
2026-06-29,GE,0.0749285539397439,0.012764216042626897,0.0009564042502485139,sleeve_trend
2026-06-29,GM,0.0812995503373233,-0.009731141499091045,-0.0007911374281449682,sleeve_2
2026-06-29,KLAC,0.064765147121049,0.11965096256361885,0.007749212193607901,sleeve_2
2026-06-29,MNST,0.1,0.01307327424919369,0.001307327424919369,sleeve_trend
2026-06-29,PLD,0.0723867630232751,-0.007715952144286664,-0.0005585327993674101,sleeve_mean_reversion
2026-06-29,QCOM,0.0414562317458691,-0.0035376639268416277,-0.00014665821559014782,sleeve_quality
2026-06-29,STX,0.0851213834744614,0.07626403269351889,0.006491699972213882,"sleeve_quality, sleeve_trend"
2026-06-29,VZ,0.0536853929521478,-0.052428080418883805,-0.0028146220990145827,sleeve_2
2026-06-30,ABBV,0.047945946923427,-0.010498990187478352,-0.000503384026278418,sleeve_trend
2026-06-30,AMAT,0.0229048473401073,0.040826881195313414,0.0009351334811513512,sleeve_trend
2026-06-30,C,0.0657439414790082,-0.017755622722733677,-0.001167324621206751,sleeve_trend
2026-06-30,CAT,0.0324585585489517,0.030691436043843723,0.0009961997737805081,sleeve_trend
2026-06-30,CVS,0.0662931216994902,-0.0012551156643590966,-8.320553548429409e-05,sleeve_trend
2026-06-30,EOG,0.0735278016280037,-0.016675487534124955,-0.001226111939459388,sleeve_mean_reversion
2026-06-30,FTNT,0.0832468786921503,-0.011581540811763213,-0.0009641271230250402,sleeve_quality
2026-06-30,GM,0.0799316454285584,-0.0033617082899777273,-0.0002687068750687451,sleeve_2
2026-06-30,HON,0.0229048473401073,-0.01712032090880755,-0.000392138336829884,sleeve_trend
2026-06-30,JCI,0.0461996252877819,0.04015091721104924,0.001854957330111228,sleeve_mean_reversion
2026-06-30,KLAC,0.0662244521061036,0.08376728898157526,0.0055474428172184705,sleeve_2
2026-06-30,MNST,0.1,-0.015567356130356091,-0.0015567356130356093,sleeve_trend
2026-06-30,MS,0.0515594009271324,-0.012658265251834111,-0.0006526525731613035,sleeve_trend
2026-06-30,QCOM,0.0434043862048178,-0.02082454381702903,-0.0009038765423734786,sleeve_quality
2026-06-30,SPG,0.0787440749194299,-0.0171822978733448,-0.001353004151026624,sleeve_trend
2026-06-30,STX,0.0663289532956393,-0.0036447288056082883,-0.00024175104672246336,"sleeve_quality, sleeve_trend"
2026-06-30,VZ,0.0525815181792903,-0.0399091950322954,-0.0020984860641114823,sleeve_2
2026-07-01,ABBV,0.0471791667957708,-0.0023048872693589573,-0.00010874266092653495,sleeve_trend
2026-07-01,ABNB,0.0504223641724009,0.029419925055996776,0.0014834221750982114,sleeve_trend
2026-07-01,AMAT,0.0220816989233131,-0.09970958071295821,-0.00220175694107333,sleeve_trend
2026-07-01,C,0.0645748686348304,0.0012146196112496899,7.84339018377375e-05,sleeve_trend
2026-07-01,CAT,0.0313126118900619,-0.06901122132095683,-0.0021609215892822863,sleeve_trend
2026-07-01,ELV,0.0541186861301248,0.07617715361666,0.004122607466866324,sleeve_2
2026-07-01,FTNT,0.0880084340296597,0.03489129527873458,0.0030707282587478894,sleeve_quality
2026-07-01,GE,0.052398233910731,0.0032375562079705045,0.00016964222748437776,sleeve_trend
2026-07-01,GM,0.083075084896344,-0.020238779851193156,-0.001681338354336288,sleeve_2
2026-07-01,KLAC,0.0608996076832457,-0.11772891193416268,-0.00716964454976589,sleeve_2
2026-07-01,LLY,0.0485595759194818,-0.006411431373401166,-0.0003113363885292214,sleeve_trend
2026-07-01,MDLZ,0.0892772349945632,0.026106471603555947,0.0023307136002295556,sleeve_mean_reversion
2026-07-01,MNST,0.1,0.0127964595546457,0.0012796459554645701,sleeve_trend
2026-07-01,PANW,0.0308541734356929,0.032314878559239535,0.0009970488676201306,sleeve_trend
2026-07-01,PNC,0.0642794305197927,0.021931580983317378,0.0014097495360063561,sleeve_trend
2026-07-01,QCOM,0.0418983278366055,-0.015531117600851574,-0.0006507278569093531,sleeve_quality
2026-07-01,STX,0.0411210036622506,-0.05161657778092621,-0.0021225254839623096,sleeve_quality
2026-07-01,TXN,0.0299394965651302,0.001140659340209238,3.415076639817816e-05,sleeve_mean_reversion
2026-07-02,ALL,0.0543016524096892,0.02965616509819302,0.0016103787689664337,sleeve_trend
2026-07-02,AMAT,0.0206847734455673,-0.07354318890818135,-0.001521224201030289,sleeve_trend
2026-07-02,AMZN,0.0519995651970765,0.004013244654325954,0.00020868697705444115,sleeve_mean_reversion
2026-07-02,C,0.0619203515967696,-0.0011418229967463667,-7.070208141981214e-05,sleeve_trend
2026-07-02,CAT,0.0298368994404898,-0.02812150835968219,-0.0008390586170427308,sleeve_trend
2026-07-02,CVS,0.0673924593586251,-0.0008586617687907916,-5.786732835603857e-05,sleeve_trend
2026-07-02,ELV,0.0549438129682153,0.004084702172226118,0.0002244291121816546,sleeve_2
2026-07-02,F,0.0662833218203823,-0.02052790906142299,-0.0013606580026178418,sleeve_mean_reversion
