decomposition,sum,total_return,residual,residual_bps,status
name,-0.019287299245873482,-0.019287299245873246,-2.3592239273284576e-16,-2.3592239273284576e-12,PASS
sleeve,-0.019287299245873482,-0.019287299245873246,-2.3592239273284576e-16,-2.3592239273284576e-12,PASS
regime,-0.01928729924587349,-0.019287299245873246,-2.42861286636753e-16,-2.42861286636753e-12,PASS
factor,,,,,REFUSED
