term,beta,hac_se,hac_t,refused,refusal_reason
unexplained(intercept),-1.5334163124497108e-05,0.0007745151101456565,-0.019798404090029104,False,
market,1.2001796799839926,0.16486719232432084,7.279675616862826,False,
momentum,0.32847212587426994,0.10291332478967781,3.191735633316315,False,
size,0.1614888952451531,0.16468810792413327,0.9805741123672759,False,
value,0.3248147790019707,0.20625193599499775,1.5748447520504654,False,
quality,-0.3970709970092187,0.3800974893494068,-1.0446556689676236,False,
lowvol,0.3511802800821136,0.27144160686378704,1.2937599513192555,False,
