date,rp,cum
2026-06-26,-0.019466930613861753,-0.019466930613861733
2026-06-29,0.018676365897751783,-0.0011541362351605855
2026-06-30,-0.0020777710455219234,-0.0032295092498304534
2026-07-01,-0.0014308510690318826,-0.004655739372099732
2026-07-02,-0.011966623979765018,-0.016566649869451
2026-07-06,0.007221357093668838,-0.009464926470335255
2026-07-07,-0.01640144607367649,-0.02571113406291714
2026-07-08,-0.004548597004887215,-0.030142781480413494
2026-07-09,0.02124306109742573,-0.00954004533162256
2026-07-10,-0.007866559332828253,-0.017331557331811687
2026-07-13,-0.00199023579993187,-0.019287299245873246
