decomposition,sum,total_return,residual,residual_bps,status
name,0.1198260625882715,0.11982606258827078,7.216449660063518e-16,7.2164496600635175e-12,PASS
sleeve,0.11982606258827146,0.11982606258827078,6.800116025829084e-16,6.800116025829084e-12,PASS
regime,0.11982606258827148,0.11982606258827078,7.077671781985373e-16,7.077671781985373e-12,PASS
factor,0.11982606258827148,0.11982606258827078,7.077671781985373e-16,7.077671781985373e-12,PASS
