date,rp,cum
2026-02-04,-0.02276610194471349,-0.022766101944713513
2026-02-05,-0.04218325487491591,-0.0639890085387873
2026-02-06,0.05064905144168688,-0.016580939682284024
2026-02-09,0.006046326346537227,-0.010634867108198276
2026-02-10,-0.012550026885215596,-0.023051426125285213
2026-02-11,0.00526714967147122,-0.017905691765356835
2026-02-12,-0.012402648160462142,-0.030086261930783564
2026-02-13,0.03646399821431047,0.005280670882207517
2026-02-17,-0.00643971973452819,-0.0011930548928124063
2026-02-18,0.018046347952904593,0.01683176277636944
2026-02-19,-0.002953138175592396,0.01382891807955966
2026-02-20,0.001736418875413889,0.015589349749353332
2026-02-23,-0.030574678864198387,-0.015461968477133214
2026-02-24,0.004735324628561956,-0.010799861288707024
2026-02-25,0.0012120659694894982,-0.00960088546356086
2026-02-26,-0.007664308986132374,-0.017191610296960036
2026-02-27,0.005854158679732263,-0.011438094031866242
2026-03-02,5.5510392088609344e-05,-0.011383218572862175
2026-03-03,-0.013601797052192017,-0.024830183396225336
2026-03-04,0.007980651917193386,-0.01704769252975724
2026-03-05,-0.015750458172355167,-0.03252964173398731
2026-03-06,-0.014986050289151929,-0.04702820117622564
2026-03-09,0.0007963462737125002,-0.04626930563527931
2026-03-10,0.0023937824579188336,-0.04398628182953035
2026-03-11,-0.0008817670203954522,-0.04482926319725866
2026-03-12,-0.012328356368065925,-0.05660494843291097
2026-03-13,-0.007185311011838486,-0.06338353528544993
2026-03-16,0.006117240441145469,-0.05765402716965551
2026-03-17,-0.00042558493194724345,-0.058055075416373225
2026-03-18,-0.013936874200870383,-0.07118284333444358
2026-03-19,0.007592628123787425,-0.06413068006888833
2026-03-20,-0.012542291643449948,-0.07586862601962152
2026-03-23,0.012571401601060517,-0.06425099938517431
2026-03-24,0.00822470384401808,-0.05655474098278135
2026-03-25,0.0007673616839351157,-0.0558307772401212
2026-03-26,-0.0018293854038089862,-0.05755802663496379
2026-03-27,-0.014988797497111548,-0.07168409852651059
2026-03-30,0.0006062298475566349,-0.07112132571907592
2026-03-31,0.01667763167652909,-0.055629829317236035
2026-04-01,0.002635474168225555,-0.053140966127158906
2026-04-02,0.0003689365273873868,-0.05279163524327657
2026-04-06,0.004575251659559246,-0.04845791860047499
2026-04-07,-0.0037499251182041846,-0.052026130152543315
2026-04-08,0.01808192714362606,-0.03488493570390028
2026-04-09,0.00188926277836401,-0.033061579736087254
2026-04-10,-0.013177527031549034,-0.04580343690695832
2026-04-13,0.007127287899965827,-0.03900260328863636
2026-04-14,0.0008957617033848743,-0.03814177862360979
2026-04-15,0.0023007161613497282,-0.035928815868761954
2026-04-16,0.009281877909320509,-0.026980424841761774
