sleeve,contribution,contribution_first_listed_rule
sleeve_mean_reversion,0.0006167275182913561,0.0021165590799390732
sleeve_quality,-0.0008398348326536429,-0.0018885595946502576
sleeve_2,-0.0094625471016162,-0.0094625471016162
sleeve_trend,-0.009601644829894994,-0.010052751629546098
