bucket,1,5,21
r01_05,0.2027,1.0064,4.073
r06_10,0.1141,0.5112,3.054
r11_20,0.1435,0.8367,3.2828
r21_50,0.1226,0.5799,2.2846
r51_plus,0.0584,0.2922,1.2305
