level,gross_sharpe,net_sharpe,gross_cagr,net_cagr,ann_turnover,cost_drag_bps
top1,0.775,0.748,0.37,0.333,54.55,272.8
top3,0.848,0.808,0.405,0.37,49.51,247.6
top5,1.006,0.957,0.469,0.432,50.25,251.3
top10,0.957,0.904,0.367,0.337,44.15,220.8
full,0.787,0.786,0.145,0.145,0.19,0.9
