date,gross_return,net_return,turnover,cost,n_names,invested,cash_weight
2014-01-02,0.01120035189766855,0.01072535189766855,0.95,0.000475,10,0.95,0.050000000000000044
2014-01-03,-0.011674780186193933,-0.011787365712544486,0.2251710527011064,0.00011258552635055321,10,0.9499999999999998,0.050000000000000155
2014-01-06,0.04610675361678248,0.04601554578316893,0.18241566722709449,9.120783361354725e-05,10,0.9499999999999998,0.050000000000000155
2014-01-07,0.05078876462362023,0.050586080026416735,0.4053691944069966,0.0002026845972034983,10,0.95,0.050000000000000044
2014-01-08,-0.04381625537523218,-0.043986844652763056,0.3411785550617577,0.00017058927753087886,10,0.9499999999999998,0.050000000000000155
2014-01-09,0.017578114357989838,0.017381252834378483,0.3937230472227118,0.0001968615236113559,10,0.95,0.050000000000000044
2014-01-10,-0.01310314275371018,-0.01319828499021526,0.19028447301016005,9.514223650508002e-05,10,0.95,0.050000000000000044
2014-01-13,0.035993612730983074,0.03590532987900489,0.1765657039563744,8.82828519781872e-05,10,0.95,0.050000000000000044
2014-01-14,0.01054949151797264,0.010449438963169522,0.2001051096062371,0.00010005255480311855,10,0.9500000000000001,0.04999999999999993
2014-01-15,0.0064674035004952425,0.00645054549431606,0.03371601235836642,1.6858006179183213e-05,10,0.95,0.050000000000000044
2014-01-16,-0.0070894920921817945,-0.0071687738160734725,0.15856344778335565,7.928172389167783e-05,10,0.9500000000000001,0.04999999999999993
2014-01-17,-0.0006399923419231498,-0.0007250693394738057,0.17015399510131174,8.507699755065587e-05,10,0.95,0.050000000000000044
2014-01-21,0.0006492741483258812,0.0006353850460337145,0.02777820458433347,1.3889102292166737e-05,10,0.95,0.050000000000000044
2014-01-22,-0.00877402286381572,-0.008797366525960082,0.04668732428872602,2.334366214436301e-05,10,0.9500000000000001,0.04999999999999993
2014-01-23,-0.038550891225887056,-0.03863756907014442,0.17335568851472916,8.667784425736458e-05,10,0.95,0.050000000000000044
2014-01-24,-0.016194007729867843,-0.01629930902283664,0.21060258593759332,0.00010530129296879666,10,0.95,0.050000000000000044
2014-01-27,0.06075126101461175,0.06072699141339626,0.04853920243097208,2.426960121548604e-05,10,0.9500000000000002,0.04999999999999982
2014-01-28,0.028337633375050623,0.028263789469685205,0.14768781073083803,7.384390536541902e-05,10,0.9500000000000001,0.04999999999999993
2014-01-29,0.026746357999954,0.02666302719916559,0.16666160157682336,8.333080078841169e-05,10,0.95,0.050000000000000044
2014-01-30,-0.00783427543460668,-0.007858829909925069,0.04910895063677552,2.455447531838776e-05,10,0.9500000000000001,0.04999999999999993
2014-01-31,-0.03436531355773131,-0.0344431412417929,0.15565536812319236,7.782768406159618e-05,10,0.9499999999999998,0.050000000000000155
2014-02-03,0.02954519621421671,0.02935047378667476,0.3894448550839033,0.00019472242754195167,10,0.9499999999999997,0.050000000000000266
2014-02-04,-0.014757431391757078,-0.014843889677737747,0.1729165719613368,8.64582859806684e-05,10,0.95,0.050000000000000044
2014-02-05,0.01647044897350852,0.016395270997196815,0.15035595262340967,7.517797631170484e-05,10,0.9500000000000002,0.04999999999999982
2014-02-06,0.02701930062428903,0.026878272592466883,0.2820560636442971,0.00014102803182214853,10,0.95,0.050000000000000044
2014-02-07,0.06094476644953641,0.06085153898891743,0.18645492123796348,9.322746061898174e-05,10,0.95,0.050000000000000044
2014-02-10,-0.00178073416127986,-0.0019130009582249434,0.26453359389016645,0.00013226679694508322,10,0.9500000000000001,0.04999999999999993
2014-02-11,0.01973580490949614,0.019642597962589922,0.18641389381243423,9.320694690621712e-05,10,0.9499999999999998,0.050000000000000155
2014-02-12,0.029430451334863543,0.029282804622027286,0.29529342567251043,0.00014764671283625522,10,0.95,0.050000000000000044
2014-02-13,-0.024400436962299772,-0.02449808394206615,0.1952939595327578,9.76469797663789e-05,10,0.9499999999999997,0.050000000000000266
2014-02-14,0.023156721536424937,0.022999650259485038,0.31414255387979906,0.00015707127693989953,10,0.9500000000000001,0.04999999999999993
2014-02-18,-0.024818312989147644,-0.024907747596346584,0.17886921439787754,8.943460719893876e-05,10,0.9500000000000001,0.04999999999999993
2014-02-19,0.029363952582699897,0.02935425675240493,0.01939166058993727,9.695830294968636e-06,10,0.9499999999999998,0.050000000000000155
2014-02-20,0.0021155345831867377,0.0020553873254157157,0.12029451554204373,6.0147257771021866e-05,10,0.9500000000000002,0.04999999999999982
2014-02-21,0.010668456858949307,0.010607060875772572,0.12279196635346988,6.139598317673494e-05,10,0.9500000000000001,0.04999999999999993
2014-02-24,0.02700197194139953,0.026992249305794348,0.019445271210365586,9.722635605182792e-06,10,0.9499999999999998,0.050000000000000155
2014-02-25,0.06047349223060773,0.06041509912440428,0.11678621240690407,5.839310620345203e-05,10,0.9499999999999998,0.050000000000000155
2014-02-26,0.0027348494245444405,0.002675519690220985,0.11865946864691129,5.932973432345565e-05,10,0.95,0.050000000000000044
2014-02-27,0.009079349276514725,0.008997341901779964,0.16401474946952144,8.200737473476072e-05,10,0.9499999999999998,0.050000000000000155
2014-02-28,0.08946243146580694,0.08941368864097,0.09748564967387224,4.874282483693612e-05,10,0.9500000000000001,0.04999999999999993
2014-03-03,0.0925917310288401,0.09251753717689407,0.14838770389204742,7.419385194602371e-05,10,0.9500000000000001,0.04999999999999993
2014-03-04,0.03646962700775551,0.03640087753247146,0.13749895056809264,6.874947528404632e-05,10,0.95,0.050000000000000044
2014-03-05,-0.033593344739148205,-0.0336594407254528,0.13219197260919816,6.609598630459908e-05,10,0.95,0.050000000000000044
2014-03-06,0.09856876229863268,0.09849769131734598,0.14214196257338108,7.107098128669054e-05,10,0.9500000000000002,0.04999999999999982
