level,cagr_settled_off,sharpe_off,cagr_settled_on,sharpe_on,settled_drag_bps_yr,avg_cash_on
top1,0.2922,0.748,0.2922,0.748,0.0,0.5
top3,0.4132,0.85,0.4448,0.895,-316.0,0.0981
top5,0.441,0.941,0.452,0.966,-110.0,0.0922
top10,0.3776,0.935,0.3529,0.906,247.0,0.0804
full,0.1499,0.854,0.1499,0.854,0.0,0.05
