date,ic
2014-01-02,0.09272289278616959
2014-01-03,-0.07096621546407424
2014-01-06,0.1360665428053647
2014-01-07,0.2570031569198683
2014-01-08,0.1184299433097944
2014-01-09,-0.1256174792049852
2014-01-10,-0.2590283342604909
2014-01-13,0.22365829265178055
2014-01-14,-0.06606712728466038
2014-01-15,-0.03889584972894914
2014-01-16,-0.038949852649401345
2014-01-17,-0.01643676736172059
2014-01-21,0.1148995435449955
2014-01-22,-0.17990278161335319
2014-01-23,-0.3001492085862802
2014-01-24,-0.033450537485706464
2014-01-27,0.22030539711926633
2014-01-28,-0.15049852792834068
2014-01-29,0.2264755672159667
2014-01-30,-0.10115383676158814
2014-01-31,-0.29968199154923286
2014-02-03,0.03983991009717003
2014-02-04,0.031709086474223824
2014-02-05,0.021692951990046883
2014-02-06,0.1894567345748291
2014-02-07,-0.10406411133847714
2014-02-10,-0.07025591326828227
2014-02-11,0.17517451591540337
2014-02-12,0.12096428694795569
2014-02-13,-0.16512927209287798
2014-02-14,0.22771753850795998
2014-02-18,-0.1138114378725331
2014-02-19,0.20385452120627368
2014-02-20,0.0469981095098191
2014-02-21,0.168556883487031
2014-02-24,0.013192276906905118
2014-02-25,0.049641855064609136
2014-02-26,0.0276816475057239
2014-02-27,-0.12770733101324266
2014-02-28,-0.047056725093640374
2014-03-03,0.364575328629223
2014-03-04,0.01873329689381559
2014-03-05,-0.1352206792002957
2014-03-06,0.1119555512500155
2014-03-07,0.012341164977628036
2014-03-10,-0.10022253696720707
2014-03-11,0.022174102310267493
2014-03-12,-0.1733545002519568
2014-03-13,-0.01648017903096834
2014-03-14,0.09492549225031417
2014-03-17,0.13876203958939698
2014-03-18,0.011961397177543827
2014-03-19,-0.042409391225662216
2014-03-20,-0.3160952989293671
2014-03-21,-0.287650182837121
2014-03-24,-0.13818254929020962
2014-03-25,-0.21176207340906383
2014-03-26,-0.2599950934596212
2014-03-27,-0.10978300067804395
2014-03-28,0.2637667211997849
2014-03-31,0.3233640935821876
2014-04-01,-0.11572825194487983
2014-04-02,-0.21527825063922298
2014-04-03,-0.5117318731244545
2014-04-04,-0.3444376279224687
2014-04-07,-0.0922009766420278
2014-04-08,0.39722499340828393
2014-04-09,-0.46239062108914786
2014-04-10,-0.2140487898940791
2014-04-11,-0.08152454109458711
2014-04-14,0.15730437617528084
2014-04-15,0.315476613802994
2014-04-16,0.17071059656144993
2014-04-17,0.17262821151705776
2014-04-21,0.301470654487228
2014-04-22,-0.08958164323409823
2014-04-23,-0.12255857717458553
2014-04-24,-0.33722659132789395
2014-04-25,-0.28719838674320847
2014-04-28,0.13951164273856284
2014-04-29,0.09076021701793718
2014-04-30,0.06863644447831464
2014-05-01,0.01897254682758196
2014-05-02,0.14204308368643884
2014-05-05,-0.2564859667995139
2014-05-06,-0.08769775656859116
2014-05-07,-0.11953100882214622
2014-05-08,0.06521207490720915
2014-05-09,0.2964988596963596
2014-05-12,-0.09330515909352753
2014-05-13,-0.17557259045246937
2014-05-14,-0.06819032919756235
2014-05-15,-0.030133104665641296
2014-05-16,0.23973123523879641
2014-05-19,-0.01900704525280734
2014-05-20,0.13960644486661083
2014-05-21,0.0571491663284794
2014-05-22,0.20394092207156952
2014-05-23,0.2023225977295913
2014-05-27,-0.0018180575951829766
2014-05-28,0.048174630016406
2014-05-29,0.014997744628341178
2014-05-30,0.10233137018397488
2014-06-02,-0.0298174668397654
2014-06-03,0.12600906941289683
2014-06-04,-0.0076119486460979775
2014-06-05,-0.018149365843728834
2014-06-06,-0.11729797468500358
2014-06-09,-0.02208107513047859
2014-06-10,0.026871404958699514
2014-06-11,-0.1741213052178708
2014-06-12,0.032473193707571825
2014-06-13,0.05466648116526335
2014-06-16,0.06760033368389427
2014-06-17,0.03224503759681547
2014-06-18,-0.058299313882180216
2014-06-19,0.16222791299674336
2014-06-20,-0.04274001818915046
2014-06-23,-0.051554785800293414
2014-06-24,0.19826997707071026
2014-06-25,0.0160675715155412
2014-06-26,-0.028227681645678415
2014-06-27,-0.010622019976814655
2014-06-30,0.14226531741473084
2014-07-01,-0.07013708016817234
2014-07-02,-0.009915650014075706
2014-07-03,-0.09985506710615685
2014-07-07,-0.03565428050836225
2014-07-08,0.11164333929409856
2014-07-09,0.10982198599005735
2014-07-10,-0.028013939643367354
2014-07-11,0.09790768960491603
2014-07-14,-0.08430518798326363
2014-07-15,-0.05949247156842264
2014-07-16,-0.12328479959763933
2014-07-17,0.2120751250370144
2014-07-18,0.04450255617735403
2014-07-21,0.1069128377098062
2014-07-22,-0.00841169436480834
2014-07-23,-0.04773241834871358
2014-07-24,-0.10284645815872745
2014-07-25,-0.11945249285711726
2014-07-28,-0.034835525967723546
2014-07-29,-0.011312460197646337
2014-07-30,-0.20893225453468464
2014-07-31,0.04992375900263672
2014-08-01,0.15428695578860727
2014-08-04,-0.1514060414354529
2014-08-05,-0.09116217877271993
2014-08-06,-0.030011041349181197
2014-08-07,-0.06255571593415589
2014-08-08,0.032377179642470395
2014-08-11,-0.0016643798826086367
2014-08-12,0.18143010570371446
2014-08-13,-0.05661391700525504
2014-08-14,0.15789971927208632
2014-08-15,0.02183872554055892
2014-08-18,0.06365197679618524
2014-08-19,0.1077921527991069
2014-08-20,-0.07800012752189604
2014-08-21,-0.015475430021811494
2014-08-22,0.10277991519992405
2014-08-25,-0.11189747443512946
2014-08-26,0.09401538718551801
2014-08-27,0.014473584877911932
2014-08-28,0.04860863983566882
2014-08-29,0.05984787070847614
2014-09-02,0.109814175315544
2014-09-03,-0.08174084063761304
2014-09-04,0.12695160732027017
2014-09-05,0.023399442488033724
2014-09-08,-0.004461326270354782
2014-09-09,-0.03465024403646895
2014-09-10,-0.03492167395478484
2014-09-11,-0.14603652314319424
2014-09-12,-0.02534704968582542
2014-09-15,0.29199974103128484
2014-09-16,0.02031948651485677
2014-09-17,-0.01409541988031304
2014-09-18,0.08740271716464589
2014-09-19,-0.03055259539850568
2014-09-22,0.0014638880753854427
2014-09-23,0.07012327442179116
2014-09-24,-0.0907576897203399
2014-09-25,0.17582012342967274
2014-09-26,0.127480755765819
2014-09-29,-0.0517861230535951
2014-09-30,-0.10261560149535423
2014-10-01,-0.08618665111756785
2014-10-02,0.193757565728455
2014-10-03,-0.11077815918004112
2014-10-06,0.01359179745606917
2014-10-07,0.06248917233420538
2014-10-08,0.01552603355208876
2014-10-09,-0.09145514037006536
2014-10-10,-0.32170983265697584
2014-10-13,-0.07880344130493776
2014-10-14,-0.025336649572584875
2014-10-15,0.1297734052457235
2014-10-16,0.19196122455028386
2014-10-17,0.08661562439711297
2014-10-20,0.18010730660909138
2014-10-21,0.09508611105388975
2014-10-22,-0.008342953949045386
2014-10-23,0.1256514405730512
2014-10-24,0.140934083439172
2014-10-27,-0.08589053186428147
2014-10-28,0.1182065517809561
2014-10-29,0.024981064436265035
2014-10-30,-0.014827137150565106
2014-10-31,0.10460406318112288
2014-11-03,0.08725248704948377
2014-11-04,-0.06838605046345353
2014-11-05,0.05004173158019697
2014-11-06,-0.20664157324055568
2014-11-07,0.2015821475337545
2014-11-10,-0.011248911168760294
2014-11-11,-0.0649020295798753
2014-11-12,0.21310890898112023
2014-11-13,-0.1901684998348159
2014-11-14,0.13384537727443807
2014-11-17,0.06395819519066451
2014-11-18,0.009845628281053486
2014-11-19,-0.14618204233216975
2014-11-20,-0.2325562836024608
2014-11-21,0.14368258346723536
2014-11-24,0.06773272966134787
2014-11-25,0.33349447993289794
2014-11-26,0.25846062673825476
2014-11-28,0.0038982924087044854
2014-12-01,0.18254410062631943
2014-12-02,-0.12201310984825249
2014-12-03,0.26564480557423353
2014-12-04,0.08348100519609421
2014-12-05,0.2609441929904095
2014-12-08,-0.08884293024396298
2014-12-09,0.19945114207615972
2014-12-10,0.2067561862574477
2014-12-11,0.10968204789042081
2014-12-12,0.1543177418457567
2014-12-15,-0.18608501851966378
2014-12-16,-0.10563350566288428
2014-12-17,-0.04776453928128552
2014-12-18,-0.18800584516210975
2014-12-19,0.14956364977504646
2014-12-22,-0.21549574559115
2014-12-23,0.20460301059339667
2014-12-24,-0.006051197378338809
2014-12-26,0.02576964994936158
2014-12-29,-0.022608054620382154
2014-12-30,-0.1027470781011688
2014-12-31,0.021201974790346665
2015-01-02,0.3143419235549063
2015-01-05,0.11619424677679197
2015-01-06,0.27016164127853454
2015-01-07,0.05338622594209435
2015-01-08,0.020766418554363453
2015-01-09,0.17983117049943198
2015-01-12,0.05772407524625898
2015-01-13,0.09527212155921484
2015-01-14,0.1417820890042577
2015-01-15,-0.06196597820801903
2015-01-16,0.072186111641875
2015-01-20,-0.23464495467619784
2015-01-21,0.13284338496451714
2015-01-22,0.2352796518266268
2015-01-23,-0.10912633627817901
2015-01-26,-0.12132112240737049
2015-01-27,0.25843416117600576
2015-01-28,0.171045169423595
2015-01-29,-0.314342931389826
2015-01-30,-0.33783768097698214
2015-02-02,-0.27237722748539805
2015-02-03,0.24064186084407485
2015-02-04,-0.16333729520359574
2015-02-05,-0.10305987504321598
2015-02-06,-0.3179343138370109
2015-02-09,0.35450257729609685
2015-02-10,0.16487062949142448
