date,gross_return,net_return,turnover,cost,n_names,invested,cash_weight
2014-01-02,-0.01357904946653743,-0.01407904946653743,1.0,0.0005,1,1.0,0.0
2014-01-03,-0.024582104228121904,-0.024582104228121904,0.0,0.0,1,1.0,0.0
2014-01-06,0.009072580645161255,0.009072580645161255,0.0,0.0,1,1.0,0.0
2014-01-07,0.06593406593406592,0.06593406593406592,0.0,0.0,1,1.0,0.0
2014-01-08,-0.27032967032967037,-0.27132967032967037,2.0,0.001,1,1.0,0.0
2014-01-09,0.05217391304347818,0.05117391304347818,2.0,0.001,1,1.0,0.0
2014-01-10,-0.005479452054794498,-0.006479452054794498,2.0,0.001,1,1.0,0.0
2014-01-13,-0.011019283746556474,-0.011019283746556474,0.0,0.0,1,1.0,0.0
2014-01-14,0.058495821727019504,0.058495821727019504,0.0,0.0,1,1.0,0.0
2014-01-15,-0.06578947368421051,-0.06578947368421051,0.0,0.0,1,1.0,0.0
2014-01-16,-0.019718309859154903,-0.019718309859154903,0.0,0.0,1,1.0,0.0
2014-01-17,0.005747126436781658,0.005747126436781658,0.0,0.0,1,1.0,0.0
2014-01-21,-0.04571428571428571,-0.04571428571428571,0.0,0.0,1,1.0,0.0
2014-01-22,-0.07784431137724546,-0.07784431137724546,0.0,0.0,1,1.0,0.0
2014-01-23,-0.0892857142857143,-0.0892857142857143,0.0,0.0,1,1.0,0.0
2014-01-24,0.026450511945392385,0.025450511945392384,2.0,0.001,1,1.0,0.0
2014-01-27,0.13549459684123022,0.13549459684123022,0.0,0.0,1,1.0,0.0
2014-01-28,0.04685212298682284,0.04685212298682284,0.0,0.0,1,1.0,0.0
2014-01-29,0.06993006993007,0.06993006993007,0.0,0.0,1,1.0,0.0
2014-01-30,0.002614379084967311,0.002614379084967311,0.0,0.0,1,1.0,0.0
2014-01-31,-0.017601043024771834,-0.017601043024771834,0.0,0.0,1,1.0,0.0
2014-02-03,0.15140845070422548,0.15040845070422548,2.0,0.001,1,1.0,0.0
2014-02-04,-0.061162079510703404,-0.061162079510703404,0.0,0.0,1,1.0,0.0
2014-02-05,0.03583061889250816,0.03583061889250816,0.0,0.0,1,1.0,0.0
2014-02-06,-0.02515723270440251,-0.02515723270440251,0.0,0.0,1,1.0,0.0
2014-02-07,0.14516129032258052,0.14516129032258052,0.0,0.0,1,1.0,0.0
2014-02-10,-0.011267605633802802,-0.011267605633802802,0.0,0.0,1,1.0,0.0
2014-02-11,0.06552706552706566,0.06552706552706566,0.0,0.0,1,1.0,0.0
2014-02-12,0.053475935828877,0.053475935828877,0.0,0.0,1,1.0,0.0
2014-02-13,-0.040609137055837574,-0.040609137055837574,0.0,0.0,1,1.0,0.0
2014-02-14,0.023809523809523947,0.023809523809523947,0.0,0.0,1,1.0,0.0
2014-02-18,-0.07235142118863058,-0.07235142118863058,0.0,0.0,1,1.0,0.0
2014-02-19,0.03064066852367686,0.03064066852367686,0.0,0.0,1,1.0,0.0
2014-02-20,-0.018918918918918948,-0.018918918918918948,0.0,0.0,1,1.0,0.0
2014-02-21,0.016528925619834656,0.016528925619834656,0.0,0.0,1,1.0,0.0
2014-02-24,0.05691056910569103,0.05691056910569103,0.0,0.0,1,1.0,0.0
2014-02-25,0.13076923076923075,0.13076923076923075,0.0,0.0,1,1.0,0.0
2014-02-26,-0.009070294784580546,-0.009070294784580546,0.0,0.0,1,1.0,0.0
2014-02-27,0.06864988558352403,0.06864988558352403,0.0,0.0,1,1.0,0.0
2014-02-28,0.246252676659529,0.246252676659529,0.0,0.0,1,1.0,0.0
2014-03-03,0.14948453608247414,0.14948453608247414,0.0,0.0,1,1.0,0.0
2014-03-04,0.008968609865470878,0.008968609865470878,0.0,0.0,1,1.0,0.0
2014-03-05,-0.057777777777777706,-0.057777777777777706,0.0,0.0,1,1.0,0.0
2014-03-06,0.3003144654088048,0.3003144654088048,0.0,0.0,1,1.0,0.0
2014-03-07,0.2466747279322854,0.2466747279322854,0.0,0.0,1,1.0,0.0
2014-03-10,-0.4151309408341416,-0.4151309408341416,0.0,0.0,1,1.0,0.0
2014-03-11,0.1276948590381426,0.1276948590381426,0.0,0.0,1,1.0,0.0
2014-03-12,0.17647058823529416,0.17647058823529416,0.0,0.0,1,1.0,0.0
2014-03-13,-0.16125,-0.16125,0.0,0.0,1,1.0,0.0
2014-03-14,-0.02980625931445602,-0.02980625931445602,0.0,0.0,1,1.0,0.0
2014-03-17,-0.08448540706605223,-0.08448540706605223,0.0,0.0,1,1.0,0.0
2014-03-18,0.04194630872483218,0.04194630872483218,0.0,0.0,1,1.0,0.0
2014-03-19,-0.03864734299516914,-0.03864734299516914,0.0,0.0,1,1.0,0.0
2014-03-20,-0.005025125628140614,-0.005025125628140614,0.0,0.0,1,1.0,0.0
2014-03-21,-0.04208754208754206,-0.04208754208754206,0.0,0.0,1,1.0,0.0
2014-03-24,0.49033391915641467,0.49033391915641467,0.0,0.0,1,1.0,0.0
2014-03-25,-0.23938679245283023,-0.23938679245283023,0.0,0.0,1,1.0,0.0
2014-03-26,0.06821705426356584,0.06821705426356584,0.0,0.0,1,1.0,0.0
2014-03-27,0.0014513788098695635,0.0014513788098695635,0.0,0.0,1,1.0,0.0
2014-03-28,0.02898550724637672,0.02898550724637672,0.0,0.0,1,1.0,0.0
2014-03-31,0.06197183098591563,0.06197183098591563,0.0,0.0,1,1.0,0.0
2014-04-01,-0.007957559681697535,-0.007957559681697535,0.0,0.0,1,1.0,0.0
2014-04-02,0.020053475935828846,0.020053475935828846,0.0,0.0,1,1.0,0.0
2014-04-03,-0.06684141546526867,-0.06684141546526867,0.0,0.0,1,1.0,0.0
2014-04-04,-0.053370786516853896,-0.053370786516853896,0.0,0.0,1,1.0,0.0
