date,gross,net,turnover,n_names,cash
2026-02-03,-0.011739284511494235,-0.012239284511494235,1.0,3,0.0
2026-02-04,-0.0615743243905847,-0.0615743243905847,0.0,3,0.0
2026-02-05,0.06210976121234775,0.06210976121234775,0.0,3,0.0
2026-02-09,-0.007147950882655,-0.007314617549321666,0.3333333333333333,2,0.33333333333333337
2026-02-10,0.01067562782371674,0.010508961157050073,0.3333333333333333,3,0.0
2026-02-12,0.0009969707860468062,0.0008303041193801396,0.3333333333333333,2,0.33333333333333337
2026-02-13,-0.005284700678808076,-0.005451367345474743,0.3333333333333333,3,0.0
2026-02-17,0.010775942181411386,0.010609275514744719,0.3333333333333333,2,0.33333333333333337
2026-02-18,0.0007414641478543649,0.00024146414785436486,1.0,3,0.6666666666666667
2026-02-19,0.006112239209115768,0.005612239209115768,1.0,3,0.33333333333333337
2026-02-21,0.0,-0.0005,1.0,3,0.6666666666666667
2026-02-23,0.0021191737874584555,0.0016191737874584554,1.0,3,0.33333333333333337
2026-02-24,-0.0013691647072627327,-0.0017580535961516216,0.7777777777777777,3,0.4444444444444444
2026-02-25,-0.005907900080520724,-0.006201550874171518,0.5873015873015872,3,0.1428571428571429
2026-02-27,-0.0009441774747718126,-0.0014441774747718126,1.0,3,0.8571428571428572
2026-03-02,-0.00707411595361282,-0.007550306429803297,0.9523809523809523,3,0.09523809523809534
2026-03-04,-0.0007131860659783343,-0.0012131860659783343,1.0,3,0.9047619047619048
2026-03-21,0.0,-0.0004523809523809523,0.9047619047619047,3,0.0
2026-03-22,0.0,0.0,0.0,3,0.0
2026-03-23,-0.005873287381247779,-0.005873287381247779,0.0,3,0.0
2026-03-24,0.0012981475188491576,0.0009648141855158243,0.6666666666666666,1,0.6666666666666667
2026-03-25,4.905725189182275e-05,-0.00028427608144151057,0.6666666666666666,3,0.0
2026-03-26,0.0,-0.0005,1.0,0,1.0
2026-03-27,-0.004016993217284029,-0.00451699321728403,1.0,3,0.0
2026-03-30,0.02213418399233228,0.02213418399233228,0.0,3,0.0
2026-03-31,0.004832826133733295,0.004666159467066629,0.3333333333333333,2,0.33333333333333337
2026-04-01,-0.009463202832762104,-0.009629869499428772,0.3333333333333333,3,0.0
2026-04-02,0.004089705804127375,0.0037563724707940413,0.6666666666666666,1,0.6666666666666667
2026-04-03,0.0,-0.0003333333333333333,0.6666666666666666,3,0.0
2026-04-06,-0.009943461408084886,-0.010110128074751553,0.3333333333333333,2,0.33333333333333337
2026-04-07,0.0260895957025495,0.025756262369216167,0.6666666666666666,3,0.33333333333333337
2026-04-08,0.0013429658466237943,0.0010929658466237943,0.5,3,0.16666666666666663
2026-04-09,-0.000799083396884715,-0.0009935278413291595,0.38888888888888884,3,0.22222222222222232
2026-04-10,0.0010993685585054536,0.0007660352251721203,0.6666666666666666,3,0.4444444444444444
2026-04-13,0.014231088486568202,0.013897755153234869,0.6666666666666666,3,0.2222222222222222
2026-04-14,-0.003307040096905134,-0.003529262319127356,0.4444444444444444,3,0.22222222222222232
2026-04-15,0.010581855550588104,0.010387411106143659,0.3888888888888889,3,0.16666666666666674
2026-04-16,-0.005090854738220077,-0.005340854738220077,0.49999999999999994,3,0.33333333333333326
2026-04-17,-0.0031288984133534346,-0.003295565080020101,0.33333333333333326,3,0.0
2026-04-20,0.0033714326986146923,0.0032047660319480258,0.3333333333333333,2,0.33333333333333337
2026-04-21,-0.004489326652242183,-0.00465599331890885,0.3333333333333333,3,0.0
2026-04-22,0.0025070876798826136,0.002340421013215947,0.3333333333333333,2,0.33333333333333337
2026-04-23,0.03512687041993019,0.03496020375326352,0.3333333333333333,3,0.0
2026-04-24,-0.011785015602604143,-0.01195168226927081,0.3333333333333333,2,0.33333333333333337
2026-04-27,-0.0046766308386035895,-0.004843297505270256,0.3333333333333333,3,0.0
2026-04-28,0.003923541373605325,0.003590208040271991,0.6666666666666666,1,0.6666666666666667
2026-04-29,0.014985805836446337,0.014652472503113004,0.6666666666666666,3,0.0
