date,ticker,sleeve,shares,price,market_value,cash,total_equity
2026-02-09,ADBE,core,3.727751171326617,267.989990234375,999.0,2004.0040000000008,9996.004
2026-02-09,C,core,8.175791636300607,122.19000244140625,999.0,2004.0040000000008,9996.004
2026-02-09,COIN,core,6.24257956395886,160.02999877929688,999.0,2004.0040000000008,9996.004
2026-02-09,CRM,core,5.277337474352056,189.3000030517578,999.0,2004.0040000000008,9996.004
2026-02-09,CRWD,core,2.521549291760481,396.18499755859375,998.9999999999999,2004.0040000000008,9996.004
2026-02-09,INTC,core,20.157384429339086,49.560001373291016,999.0,2004.0040000000008,9996.004
2026-02-09,MU,core,2.624734080681677,380.6099853515625,999.0,2004.0040000000008,9996.004
2026-02-09,SNPS,core,2.3347667303911654,427.8800048828125,999.0,2004.0040000000008,9996.004
2026-02-09,ADBE,core,3.727751171326617,267.989990234375,999.0,2004.0040000000008,9996.004
2026-02-09,C,core,8.175791636300607,122.19000244140625,999.0,2004.0040000000008,9996.004
2026-02-09,COIN,core,6.24257956395886,160.02999877929688,999.0,2004.0040000000008,9996.004
2026-02-09,CRM,core,5.277337474352056,189.3000030517578,999.0,2004.0040000000008,9996.004
2026-02-09,CRWD,core,2.521549291760481,396.18499755859375,998.9999999999999,2004.0040000000008,9996.004
2026-02-09,INTC,core,20.15738442933909,49.560001373291016,999.0000000000002,2004.0040000000008,9996.004
2026-02-09,MU,core,2.624734080681677,380.6099853515625,999.0,2004.0040000000008,9996.004
2026-02-09,SNPS,core,2.334766730391165,427.8800048828125,998.9999999999999,2004.0040000000008,9996.004
2026-02-09,ADBE,core,3.727751171326617,267.989990234375,999.0,2004.0040000000008,9996.004
2026-02-09,C,core,8.175791636300607,122.19000244140625,999.0,2004.0040000000008,9996.004
2026-02-09,COIN,core,6.24257956395886,160.02999877929688,999.0,2004.0040000000008,9996.004
2026-02-09,CRM,core,5.277337474352056,189.3000030517578,999.0,2004.0040000000008,9996.004
2026-02-09,CRWD,core,2.521549291760481,396.18499755859375,998.9999999999999,2004.0040000000008,9996.004
2026-02-09,INTC,core,20.15738442933909,49.560001373291016,999.0000000000002,2004.0040000000008,9996.004
2026-02-09,MU,core,2.624734080681677,380.6099853515625,999.0,2004.0040000000008,9996.004
2026-02-09,SNPS,core,2.334766730391165,427.8800048828125,998.9999999999999,2004.0040000000008,9996.004
2026-02-09,ADBE,core,3.727751171326617,267.989990234375,999.0,2004.0040000000008,9996.004
2026-02-09,C,core,8.175791636300607,122.19000244140625,999.0,2004.0040000000008,9996.004
2026-02-09,COIN,core,6.24257956395886,160.02999877929688,999.0,2004.0040000000008,9996.004
2026-02-09,CRM,core,5.277337474352056,189.3000030517578,999.0,2004.0040000000008,9996.004
2026-02-09,CRWD,core,2.521549291760481,396.18499755859375,998.9999999999999,2004.0040000000008,9996.004
2026-02-09,INTC,core,20.15738442933909,49.560001373291016,999.0000000000002,2004.0040000000008,9996.004
2026-02-09,MU,core,2.624734080681677,380.6099853515625,999.0,2004.0040000000008,9996.004
2026-02-09,SNPS,core,2.334766730391165,427.8800048828125,998.9999999999999,2004.0040000000008,9996.004
2026-02-09,ADBE,core,3.727751171326617,267.989990234375,999.0,2004.0040000000008,9996.004
2026-02-09,C,core,8.175791636300607,122.19000244140625,999.0,2004.0040000000008,9996.004
2026-02-09,COIN,core,6.24257956395886,160.02999877929688,999.0,2004.0040000000008,9996.004
2026-02-09,CRM,core,5.277337474352056,189.3000030517578,999.0,2004.0040000000008,9996.004
2026-02-09,CRWD,core,2.521549291760481,396.18499755859375,998.9999999999999,2004.0040000000008,9996.004
2026-02-09,INTC,core,20.15738442933909,49.560001373291016,999.0000000000002,2004.0040000000008,9996.004
2026-02-09,MU,core,2.624734080681677,380.6099853515625,999.0,2004.0040000000008,9996.004
2026-02-09,SNPS,core,2.334766730391165,427.8800048828125,998.9999999999999,2004.0040000000008,9996.004
